showid,name,type,rating,duration,description,hook_text,genre,release_year,release_date,mood_tag,actors,creator,director,audio,subtitles,tags,similar_titles_id,production_country
81172848,Moms at War,Movie,U/A 16+,1.5167,"Two fierce mothers become rivals when a school contest forces their kids, both model students, to compete against one another to be the best in class.",,Drama,2018,2022-8-23,Bittersweet;Goofy,Omoni Oboli;Funke Akindele-Bello;Yul Edochie;Abayomi Alvin;Adebukola Oladipupo;Sharon Ooja;Eucharia Anunobi;Harriet Akinola;Michelle Dede,,Omoni Oboli,English [Original],English,Nollywood;Dramas;Comedy Movies;African Movies,81172904;81270838;81172723;81270692;81478629;81591155;81282563;81397731;81270767;81663113;81521086;81630495,Africa
81026440,Untold: The Rise and Fall of AND1,Movie,U/A 16+,1.15,"Inspired by New York City streetball, influential brand AND1 turned local legends on the court into international icons. So why did it come to an end?","Streetball stars Skip 2 My Lou, The Professor, Hot Sauce and more reflect on AND1's journey in this documentary.",Documentary,2022,2022-8-23,Provocative;Inspiring,,,Kevin Wilson Jr.,English - Audio Description;English [Original],English,Documentaries;Business Documentaries;Sports Movies;Historical Documentaries;Sports & Fitness;US Movies,81452996;80203144;81026443;81026439;81582384;81681112;81482895;81274937;81084829;81644531;81025735;81231181,United States
81557435,Nightmare of the Wolf Bestiary,Movie,A,0.1833,"Dig into the dark mythological origins of the many monsters — manticores, wraiths, werewolves and more — stalking ""The Witcher: Nightmare of the Wolf.""",,Documentary,2021,2022-8-23,Exciting,,,,English [Original],English;English;Japanese,Sci-Fi & Fantasy Anime;Documentaries;Anime Features;US Movies,81037868;80189685;81279312;80095241;81249833;81312426;81436901;81091393;80992784;80992228;81281344;81183924,United States
81270767,Black Rose,Movie,U/A 16+,2.0,"Struggling in poverty with her single mother and siblings, a principled young woman meets the man of her dreams but soon finds he's keeping secrets.",,Drama,2018,2022-8-22,Emotional,Blossom Chukwujekwu;Ebele Okaro;Lilian Echelon;Betty Bellor;Swanky JKA,,Okey Oku,English [Original],English,Nollywood;Dramas;Social Issue Dramas;African Movies,81392180;81435734;81300126;81478629;81294345;81572291;81630495;81521086;81282563;81462490;81663115;81030789,Africa
81014211,Nigerian Prince,Movie,U/A 16+,1.7333,"When a stubborn American teenager is sent to Nigeria by his mother, his cousin's scamming business becomes a viable option for securing a return flight.",,Drama,2018,2022-8-21,Suspenseful,Antonio Bell;Chinaza Uche;Tina Mba;Bimbo Manuel;Toyin Oshinaike;Craig Stott;Ebbe Bassey;Cristabel Goddy;Omar Maskati;Russell G. Jones;Dean Cameron,,Faraday Okoro,English [Original],English,Dramas;Independent Movies;US Movies,81282563;81270767;81478629;81521086;81630495;81730156;81300126;81435742;81520050;81671712;81663107;81663115,United States
81172891,Alakada Reloaded,Movie,U/A 13+,1.7167,"To cope with her feelings of inferiority, a woman from an impoverished family tells tall tales of her wealth and influence to upgrade her social status.",,Comedy,2017,2022-8-20,Goofy,Kehinde Bankole;Lilian Esoro;Bolaji Amusan;Toyin Abraham;Gabriel Afolayan;Bidemi Kosoko;Wumi Toriola;Tayo Amokade;Helen Paul;Liz DaSilva,,Toyin Abraham,Yoruba [Original],English,Nollywood;Comedy Movies;African Movies,81397729;81591156;81270838;81591157;81435736;81172755;81591162;81172726;81591163;81591155;81172841;81623400,Africa
81266975,Fullmetal Alchemist The Revenge of Scar,Movie,U/A 13+,2.0833,"In this sequel to the first feature film, the Elric brothers meet their toughest opponent yet — a lone serial killer with a large scar on his forehead.",,Action,2022,2022-8-20,Mind-Bending;Exciting,Ryosuke Yamada;Tsubasa Honda;Dean Fujioka;Misako Renbutsu;Kanata Hongo;Yuina Kuroshima;Keisuke Watanabe;Kokoro Terada;Shinji Uchiyama;Yusuke Onuki;Ron Monroe;Atomu Mizuishi;Yuki Yamada;Keiko Horiuchi;Hiroshi Tachi;Akaji Maro;Naohito Fujiki;Kaoru Okunuki;Tsutomu Takahashi;Koji Yamamoto;Toshio Kakei;Tetta Sugimoto;Jun Fubuki;Ryuta Sato;Mackenyu;Seiyo Uchino,,Fumihiko Sori,English - Audio Description;English;Hindi;Japanese - Audio Description;Japanese [Original],English;English;Japanese,Sci-Fi Movies;Japanese;Dramas;Action & Adventure Movies,80223731;81266981;80217733;81313227;70293105;81313229;81403965;81721676;81453003;81243969;81446739;60022933,Japan
81616526,Superbro,TVSeries,A,2 Seasons,A suburban Australian teen and his best friend get up to no good in this comedy based on Theodore and Nathan Saidden's beloved YouTube sketch series.,,Comedy,2017,2022-8-20,Absurd;Raunchy,Theodore Saidden;Nathan Saidden;Joseph Green;Adrian Pickering;Alicia Banit;Diamond Lust;Sasha Sutton;Graham Jahne,Theodore Saidden;Nathan Saidden,,,,Australian;TV Comedies,81031262;81134264;81249713;80199128;80014749;60028097;70228042;80061132;80192612;80198950;81193104;80209013,Australia
81270690,Elevator Baby,Movie,U/A 16+,1.3833,"A chance encounter brings a brash, wealthy young man and an underprivileged woman together when they get stuck in an elevator and she goes into labor.",,Drama,2019,2022-8-2,,Toyin Abraham;Timini Egbuson;Shaffy Bello;Yemi Solade;Broda Shaggi;Sambasa Nzeribe;Ijeoma Aniebo;Blessing Onwukwe,,Akhigbe Ilozobhie,English [Original],English,Nollywood;Dramas;African Movies,81591160;81270768;81681240;81592483;81591163;81591156;81591157;81689060;81478629;81663115;81730156;81720931,Africa
81446278,Ricardo Quevedo: Tomorrow Will Be Worse,Movie,U/A 16+,1.0,"From road rage to couples fighting during the pandemic, comic Ricardo Quevedo examines the absurdity of the situations that try our patience.","This is Ricardo Quevedos' third Netflix comedy special following ""Los amargados somos más"" and ""Hay gente así.""",Comedy,2022,2022-8-2,Raunchy,Ricardo Quevedo,,Julio César,Spanish (Latin America) - Audio Description;Spanish (Latin America) [Original],English;English;Spanish (Latin America),Colombian;Stand-Up Comedy,81026008;80192062;81454281;81211965;81206241;81580505;81026007;81091382;80192136;80194946;81006826;80183197,Colombia
